WBID,name,mine_query
GB106039029770,Daglingworth Stream (Source to Churn),Daglingworth Stream
GB106039023710,Bydemill Brook (Source to Thames),bydemill brook
GB106039022930,Cole (Acorn Bridge to Bower Bridge),river cole OR acorn bridge river OR bower bridge river
GB106039023331,Haydon Wick Brook,Haydon Wick Brook
GB106039023760,Thames (Kemble to Waterhay Bridge),thames kemble river OR waterhay bridge river
GB106039022990,Thames (Churn to Coln),thames river
GB106039022910,South Marston Brook,South Marston Brook
GB106039023310,Lydiard Brook,Lydiard Brook
GB106039023711,Westrop Brook,Westrop Brook
GB106039023090,Colne (Confluence with Chess to River Thames),river colne
GB30642525,Staines Reservoir South,Staines Reservoir
GB106039029920,Ver,river Ver
GB106039023070,Pinn,river Pinn
GB106039029830,Misbourne,river Misbourne
GB106039023480,Surrey Ash,river Surry Ash
GB106039029890,Bulbourne,river Bulbourne
GB106039029850,Colne (upper east arm including Mimshall Brook),river colne
GB30642639,Queen Mary Reservoir,Queen Mary Reservoir
GB106039029860,Gade (from confluence with Bulbourne to Chess),river gade
GB30642490,Staines Reservoir North,Staines Reservoir
GB30642488,King George VI Reservoir,King George VI Reservoir
GB106039029820,Upper Colne and Ellen Brook,Colne river OR Ellen Brook
GB106039023100,Tykeswater,Tykeswater river
GB106039023040,Horton Brook,Horton Brook
GB30641907,Broadwater Lake,Broadwater Lake
GB106039029840,Colne (from Confluence with Ver to Gade),river colne
GB106039023080,Alderbourne,Alderbourne river
GB30642538,Heron Lake,Heron Lake
GB106039023010,Colne Brook,Colne Brook
GB30642569,Queensmead,Queensmead river
GB106039029900,Gade (Upper stretch Great Gaddesden to confluence with Bulbourne / GUC),river gade OR river great gaddesden
GB106039029870,Chess,river Chess
GB30642417,Wraysbury Reservoir,Wraysbury Reservoir
GB30642334,The Queen Mother Reservoir,The Queen Mother Reservoir
GB30642489,Wraysbury No 2,wraysbury river
GB106039017622,Mole (Hersham to R. Thames conf at East Molesey),river mole OR river east molesey
GB106039017650,Rythe,river Rythe
GB106039017530,Deanoak Brook,Deanoak Brook
GB106039017621,Mole (Horley to Hersham),river mole OR river horley OR river hersham
GB30643054,Black Pond,black pond
GB106039017550,Leigh Brook,Leigh Brook
GB106039017580,Pipp Brook,Pipp Brook
GB30642813,Queen Elizabeth 2 Storage Reservoir,Queen Elizabeth 2 Storage Reservoir
GB106039017600,Downside Ditches and Bookham Brook,Downside Ditches OR Bookham Brook
GB30642841,Island Barn Reservoir,Island Barn Reservoir
GB106039017570,Tanners Brook (Holmewood to River Mole confluence at Brockham),tanners brook OR holmewood river OR brockham river
GB106039017610,The Rye at Ashtead,river rye OR ashtead river
GB106039017500,Tilgate Brook and Gatwick Stream at Crawley,Tilgate Brook OR Gatwick Stream
GB106039017520,Burstow Stream,Burstow Stream
GB106039017460,Ifield Brook,Ifield Brook
GB106039017540,Salfords Stream (Salfords to River Mole confluence),salfords stream
GB106039017450,Stanford Brook,Stanford Brook
GB106039017470,Baldhorns Brook,Baldhorns Brook
GB30644358,Douster Pond,Douster Pond
GB106039017590,Redhill Brook,Redhill Brook
GB106039017481,Mole upstream of Horley,river mole OR river horley
GB106039017560,Salfords Stream (Redhill Brook confluence upstream),salfords stream
GB530603911402,THAMES MIDDLE,Thames middle river
GB530603911401,THAMES LOWER,Thames lower river
GB560604017700,Cliffe Fort Lagoon,Cliffe Fort Lagoon
GB530603911403,THAMES UPPER,upper Thames river
GB560604017900,West Thurrock Lagoon,West Thurrock Lagoon
GB640603690000,Thames Coastal North,coastal Thames river
GB560604017600,Higham Marshes,Higham Marshes
GB560504016800,Allhallows Marshes,Allhallows Marshes
GB530604002300,MEDWAY,river Medway
GB560604017400,Murston Lakes,murston lakes
GB530604011500,SWALE,river Swale
GB106039017360,Inkpen Stream (source to Kennet),inkpen stream
GB106039017300,West End Brook (tributary of Foudry Brook),west end brook OR foudry brook
GB106039017380,Foudry Brook (West End Brook to M4),foudry brook OR west end brook
GB106039023120,Clayhill Brook,Clayhill Brook
GB106039023173,Middle Kennet (Marlborough to Hungerford),river kennet OR river marlborough OR hungerford river
GB106039017410,Burghfield Brook,Burghfield Brook
GB106039017370,Shalbourne  (source to Kennet at Hungerford),river shalbourne
GB106039017280,Enborne (Source to downstream A34),river enborne
GB106039017310,Enborne (downstream A34 to Burghclere Brook),river enborne
GB30642611,Farnham Flint or Englefield Lagoon,Farnham Flint OR Englefield Lagoon
GB106039017210,Penwood Stream,Penwood Stream
GB106039017250,Ecchinswell Brook (source to Enborne),Ecchinswell Brook
GB30642622,Ameys Lake or Theale Lakes,Ameys Lake OR Theale Lakes
GB106039023200,Aldbourne,river aldbourne
GB30643126,Milford Lake,Milford Lake
GB106039017190,Silchester Brook,Silchester Brook
GB106039023140,Kennet and Holy Brook,river kennet OR holy brook
GB106039023180,Og,river Og
GB106039017261,Enborne (Burghclere Brook to Kingsclere Brook),river enborne
GB106039017390,Kennet and Avon Canal and Dun above Hungerford,river kennet OR avon canal OR river dun OR river hungerford
GB106039023220,Lambourn (Source to Newbury),river lambourn OR river newbury
GB106039023171,Upper Kennet to Marlborough,river Kennet
GB106039017200,Baughurst Brook,Baughurst Brook
GB106039017220,Kingsclere Brook (Source to Enborne),kingsclere brook OR river enborne
GB106039023210,Winterbourne,river Winterbourne
GB106039017340,Lower Enborne,river Enborne
GB106039023174,Middle Kennet (Hungerford to Newbury),river kennet OR river hungerford OR river newbury
GB106039017420,Kennet (Lambourn confluence to Enborne confluence),river kennet
GB106039023141,Holy Brook,Holy Brook
GB106039017350,Upper Dun,Upper Dun river
GB106039017230,Earlstone Stream and  Burghclere Brook (source to Enborne),Earlstone Stream OR Burghclere Brook
GB106039017430,Froxfield Stream,Froxfield Stream
GB30643001,Wasing Wood Ponds,Wasing Wood Ponds
GB106039023670,Berrick Stream and Lady Brook,Berrick Stream OR Lady Brook
GB30642393,Sonning Eye gravel pit,Sonning Eye gravel pit water
GB106039023610,Ewelme Stream (Source to Thames),ewelme stream
GB106039023720,Hamble Brook,Hamble Brook
GB106039023890,Wye (Source to High Wycombe fire station),river wye OR river high wycombe
GB106039023880,Wye (High Wycombe fire station to Thames),river wye OR high wycombe river
GB106039023300,Pang,river Pang
GB106039023233,Thames (Reading to Cookham),river thames reading OR river thames cookham
GB106039023280,Sulham Brook,Sulham Brook
GB106039030331,Thames Wallingford to Caversham,Thames river wallingford OR thames river caversham
GB106039023900,Hughenden Stream,Hughenden Stream
GB106039023570,Cholsey Brook and tributaries,Cholsey Brook
GB106039023600,"Mill Brook and Bradfords Brook system,  Wallingford ",river wallingford OR mill brook OR bradfords brook
GB106039030400,"Dorton, Chearsley and Waddesdon Brooks",dorton brook OR chearsley brook OR waddesdon brook
GB106039030410,Thame upstream of Aylesbury,river Thame aylesbury
GB106039030270,Scotsgrove Brook (upstream Kingsey Cuttle Brook),scotsgrove brook
GB106039030240,Thame (Scotsgrove Brook to Thames),river thame
GB106039023820,Baldon Brook (South of Oxford),baldon brook
GB106039023850,Chinor Brook and Sydenham Brook,Chinor Brook OR Sydenham Brook
GB106039030290,Peppershill and Shabbington Brooks,Peppershill Brook OR Shabbington Brook
